geno	ID	STC_19	DTP_19	EH_19	PH_19	FLH_19	TE_19	TIL_19	LA_19	EL_19	EW_19	KRN_19	GER_19	NEL_19	SL_19	GER_21	LA_21	EH_21	FLH_21	PH_21	TIL_21	TBN_21	DTP_21	AC_21	DTS_21	SC_21	ASI_21	TE_21	TPF_21	SL_21	EL_21	EW_21	COV_21	SOL_21	TP_21	CUR_21	PH_22	FLH_22	EH_22	LA_22	NES_22	TIL_22	TBN_22	EL_22	SL_22	EW_22	COV_22	SOL_22	TP_22	CUR_22	TPF_22	STC_22	DTP_22	AC_22	DTS_22	SC_22	HP_22	TE_22	Carb_Starch.BLUP	Carb_Total.Polysaccharides.BLUP	Carb_WSP.BLUP	Carb_Glucose.BLUP	Carb_Fructose.BLUP	Carb_Sucrose.BLUP	Carb_Total.Sugar.BLUP	Vol_beta_pinene	Vol_β_Myrcene	Vol_beta_ocimene	Vol_linalool	Vol_DMNT	Vol_benzyl_acetate	Vol_methyl_salicylate	Vol_Phenethyl_acetate	Vol_Indole	Vol_methyl_antranilate	Vol_cyclosativene	Vol_epi_sesquithujene	Vol_β_trans_Caryophyllene	Vol_trans_α_Bergamotene	Vol_β_Farnesene	Vol_Humulene	Vol_Germacrene_D	Vol_β_Bisabolene	Vol_β_Cadinene	Vol_γ_Cadinene	Vol_Cadina_diene	Vol_trans_Nerolidol	Vol_TMTT	Vol_Caryophyllene_epoxide	pg21_BLUE	pg28_BLUE	ww21_BLUE	ww28_BLUE	adjpg21_BLUE	adjpg28_BLUE	spg21_BLUE	spg28_BLUE	sww21_BLUE	sww28_BLUE	sadjpg21_BLUE	sadjpg28_BLUE
IL453b	IL453b	12.11742306	56.13364469	30.23097024	129.7828635	96.14451194	33.39560233	0.865486478	44.1014928	135.9787011	34.38782815	12.61337709	92.75184831	4.263227467	101.1107721	88.46553962	46.38307614	40.13686752	101.5067315	134.3524994	0.071302749	13.99363221	57.76023494	-0.016918112	60.18071105	-0.015539102	-2.45979027	32.87083573	0.932081826	6.889059402	15.05109222	3.304990754	0.869637286	0.960008564	80.36660632	12.44291365	137.2559784	100.8308376	31.58603513	54.79720772	1.676096814	0.19605621	9.040905454	14.63221582	7.471831024	3.155266814	0.842589714	0.937195182	69.20029614	15.75715895	0.881816003	98.25605254	60.25495439	-0.011218657	60.53130221	-0.001402958	1.800821071	36.44445851	13.45139535	33.09308853	20.20308709	3.397707983	3.617270248	9.452100067	15.82561675	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	23.48192388	26.32338527	70.84113338	68.00511893	77.97031547	82.3898473	NA	NA	NA	NA	NA	NA
IL454a	IL454a	8.542254027	57.27407967	28.45835887	168.3496106	127.0020069	40.85596009	2.029409714	45.55810492	117.3659404	31.34645175	12.56534619	65.72625091	6.21476727	110.1107719	77.93388667	47.21649066	32.91333713	115.2823324	152.7888244	0.158370668	5.974527814	58.25992728	1.649748309	59.03545252	-0.022274252	-0.821227526	37.53354622	0.876677986	6.112169682	11.55862045	2.954446746	0.861635715	0.941254992	73.20986469	14.97947163	144.8371884	109.1792199	25.20407764	47.71197663	1.592758614	0.557457665	4.971196508	11.18490281	9.06225343	2.745931614	0.824998486	0.93066447	61.31970666	9.403260267	0.92428342	67.4605151	58.89652637	0.655447995	59.88642929	-0.001403207	2.703423516	36.02081891	13.09119778	28.94759443	16.2114828	4.089253444	4.304271383	7.685194625	15.56469608	386283.3333	18602	36728.66667	71180	88953.66667	158814	22382.66667	5809	247034.6667	9924.333333	157910.3333	4807.333333	154678.6667	128706.6667	87305.33333	30204.66667	65158.66667	21042.33333	16080.66667	54440	51558.33333	2537.333333	26648.66667	1705	114.9330652	144.8566915	64.51717105	54.40256557	319.557697	243.0366666	113.3602845	144.0809084	64.50228443	54.56900546	315.7865806	237.9872161
IL465a	IL465a	9.570322768	57.33211856	55.36789228	191.0554624	154.3510894	36.45669396	1.371679088	48.0798031	140.5860339	39.73617001	14.9196529	73.56223566	3.163850112	132.0000046	67.75930195	46.80021438	42.70484236	121.3001375	157.8064198	-0.025723288	5.670200142	60.61908129	1.983081839	59.95336315	1.315255243	0.557136319	36.61189184	0.886442938	8.688107185	14.18976721	3.507556927	0.829040067	0.941952713	99.93453434	14.36654482	144.5085224	112.7412916	36.4293327	52.6010071	1.592763747	0.885236049	3.474595458	13.83347244	11.508787	3.331695073	0.842905109	0.935080282	79.34536661	8.601160058	0.907296763	69.57675136	58.25509893	0.988781326	60.78746347	0.331928231	1.995173766	31.84342356	13.34997846	27.48560361	14.18754168	4.631760952	4.707065916	10.21003837	19.27615054	527888	101390	52270.5	1303670	2977439	638058.5	1071.5	13537.5	8077771	199841	343541.5	67141.5	218688	1486155.5	1104042.5	85344.5	60575.5	22723	89170	65880.5	117815	35302	303849	2671.5	104.6003118	163.1166858	63.8867338	49.7525981	290.7517061	331.9895976	104.4279087	162.3407193	63.95122563	49.9190618	290.0937698	329.4645912
IL47A	IL47A	12.14503827	65.19097346	36.11837622	147.8790961	110.9818556	35.58386072	2.611326934	32.27842197	103.4261254	37.99902467	21.91978553	93.28450863	6.702723034	66.48577467	43.57557684	42.9663134	24.00528882	87.37742388	132.2753528	1.94751117	7.069201226	66.32399093	1.316415041	66.52951771	1.643674095	-0.148573233	44.64664652	0.897851145	5.83136219	10.58174898	3.546554507	0.827857347	0.927764885	81.3832114	12.61067396	137.6247591	99.90343868	25.04804289	48.20486749	1.509427034	0.841674417	8.332319195	10.75682629	6.883000838	3.480788277	0.802191358	0.935636082	81.65553613	10.83432109	0.893639995	51.99906848	64.02426274	1.322114751	63.98118845	1.998591733	2.919342387	37.89761934	15.61113645	29.08417848	13.59217223	5.239508601	5.530842649	11.357255	21.32064042	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	126.8073035	130.1833889	67.14650841	49.70507765	385.7108226	261.3537402	127.0013147	128.6318726	67.19965866	50.03796034	385.9402649	256.3043607
IL515a	IL515a	6.145491806	63.19168358	29.64050364	124.4887154	84.99359444	38.99633621	2.207755852	46.62319098	111.6987946	35.77754641	15.4676838	46.78783306	8.358704834	77.73578	85.82241681	44.96723983	31.53363189	112.4101805	147.9908926	0.063360715	13.81286552	65.00459359	1.983081404	65.44359066	1.645459155	-0.47477004	35.65523877	0.943982629	8.695308149	13.93786449	3.914398467	0.814001595	0.943682393	100.3561951	14.03964057	130.1781542	98.80623921	30.30892202	49.63027814	1.509430421	0.340073461	15.06280636	12.94013353	7.328176253	3.120319621	0.824261124	0.925272133	78.09097499	11.76447659	0.892937635	58.01061372	67.09081473	-0.0112186	69.50414334	1.665262664	1.65135864	31.50077923	18.98881073	28.69981891	9.918009816	4.590613645	5.157520757	6.805228702	16.59925272	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	84.05449799	109.0216949	71.8848455	63.90258046	297.1068411	306.5783246	83.99436076	108.2458927	71.96709966	64.06900776	295.7163416	304.0534948
IL543c	IL543c	7.406475695	66.14836439	81.09507993	216.9038805	178.0070372	38.95592234	0.611606205	44.49346972	109.1100302	30.05640042	12.50750573	57.47123249	NA	NA	16.08566308	51.70069695	28.38248701	94.38170978	129.3754842	-0.057757332	4.805470246	NA	NA	NA	NA	NA	35.51043756	0.872071582	9.272762599	12.80035946	2.043709521	0.864497412	0.918107804	53.80992673	9.775403964	101.0803495	69.84426312	9.665606843	54.12297856	1.000003358	0.007030832	6.118574591	7.492509806	7.742419725	1.92550707	0.805744042	0.880742489	54.72616031	11.55884776	0.998279229	65.06753542	77.58112622	1.999999994	78.30193299	6.54E-06	3.447527065	31.5264723	10.9786591	30.36986131	20.70030403	4.326007326	3.810998326	8.151744868	16.09270038	126463	51714	38270	966817.5	1372059.5	9674.5	293	10068	9615980.5	57078	688229	80935	278341.5	2946784	2089531.5	121630.5	85550	64098.5	78955.5	30251	263335	9996	221508.5	8302	100.3683623	166.7033961	71.01091616	30.50506903	347.1090903	239.9538415	101.4345714	165.1519868	70.87293958	30.83794916	350.3859389	234.9045023
IL545	IL545	10.14549181	59.69168358	38.14050364	162.9887154	118.4935944	44.49633621	0.207755852	45.62319098	140.1987946	32.77754641	12.9676838	77.53783306	2.963405613	91.29827334	82.5252184	40.21577976	48.10279508	118.7796094	160.8387442	-0.006710972	9.778625988	58.44411691	1.98308171	58.82401434	1.645788667	-0.446849985	41.6012761	0.876105948	6.055943996	13.70353213	3.354151909	0.824171048	0.923221641	68.07770562	11.99985141	146.7383021	104.6595409	36.09710553	48.61517096	1.592758068	0.236644726	12.5208829	13.20504544	7.340081607	3.133667692	0.83304091	0.932673814	58.06325977	13.07518238	0.919847036	77.8238162	59.0942548	0.322114964	60.07490884	0.998591818	1.294321703	41.57638403	13.98295306	31.93036793	17.41819473	4.373425469	4.364385715	9.121261522	17.49755692	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	106.9558483	NA	68.14920293	NA	338.280856	NA	106.6839072	NA	68.24902382	NA	338.823806	NA
IL557a	IL557a	9.973674088	59.20461915	47.259635	182.5686146	136.7790171	44.82202704	1.995286088	37.69294068	138.6342661	34.59510233	16.6380349	77.04070947	3.965528814	54.86078097	63.91596712	45.88305897	21.92161488	66.48796755	104.6174613	0.334655894	6.598712655	62.53213147	1.98308147	63.39265108	1.642246352	-0.821933677	38.07848547	0.925279342	6.460824893	10.83655619	3.236477311	0.821087271	0.947003634	76.718286	16.60239142	114.4949631	71.65926075	14.36616384	39.61263352	1.426094961	0.541646575	5.310424478	10.23633118	7.969274924	2.896584154	0.821503593	0.932595638	72.19277392	14.73048993	0.914731924	82.87844429	64.7582656	0.322114816	65.94730408	0.998594444	2.185083354	43.20381231	12.26733313	29.18854816	17.08490793	4.127075313	4.196160136	8.700374524	16.64235969	159185	134814	127872	1420107	2278904	48694	1660	1257125	18696934	306936	256148	38928	164180	2589835	7307625	245638	154828	182382	25491	229021	330686	332134	708746	5526	61.43518664	57.03668867	68.33438326	57.85255328	175.4869355	108.8719063	60.42382696	56.26086427	68.27527749	58.01899664	171.5859459	106.3471016
IL607a	IL607a	5.570322768	65.33211856	36.86789228	151.0554624	112.8510894	36.95669396	1.371679088	45.0798031	119.5860339	30.23617001	11.9196529	42.81223566	4.494872106	116.7357796	17.54250483	53.2996989	24.90659848	101.0319869	141.3376941	1.246117875	7.132152215	67.51567798	1.983081822	67.63635235	1.97797345	-0.136575619	40.22556947	0.944972603	11.67508934	15.1777025	4.025307252	0.789281832	0.942290403	116.1928228	18.88830309	118.5917296	87.70098468	24.57917327	62.17481386	1.648316487	0.69302242	4.345503863	12.6422462	9.809013009	3.107328325	0.832322751	0.895844962	90.38535893	17.15750472	0.954250125	27.06327356	67.09973182	1.988781439	67.43767236	1.998593211	2.153585738	31.10426	10.49247231	29.05759542	18.41094807	4.777044011	5.236436335	13.07499091	22.90331037	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	116.6746367	168.526697	68.27551752	45.25251552	369.9760435	305.9306475	116.3045169	167.7509672	68.26594872	45.41896417	369.3909431	303.4058831
IL611a	IL611a	9.473674088	60.20461915	37.259635	141.0686146	106.2790171	33.82202704	1.495286088	55.69294068	151.1342661	30.59510233	12.1380349	73.19070947	7.3083742	124.2357732	55.99606308	53.63349084	28.31186057	97.20816644	123.6101201	0.456527055	6.619844135	65.70673623	1.649748302	64.99114279	1.979550168	0.565753437	26.57110084	0.807420101	11.251093	13.43114818	3.036878395	0.826494071	0.937123091	71.79258429	15.36870411	100.6485437	66.95272081	16.74251226	53.74016853	1.787207497	0.212222687	3.126960338	12.92516545	7.945716907	2.827001687	0.834599918	0.923417928	63.89046797	9.955684197	0.879968518	49.26427057	62.20208745	-0.011218567	62.32512733	1.998593745	2.755047321	33.12657504	13.21546961	31.6651842	19.39910455	3.931218327	4.035539921	9.107282431	16.67399379	100586	120180	14791	397925	208258	16513.5	273	3211	892883.5	7333	394433	9309.5	60400	139312.5	274073	19345.5	321236.5	122201.5	39416	27076.5	166772.5	1572.5	79867.5	1097.5	100.6609236	127.1516917	73.14630849	51.4524772	374.6834579	261.9956451	100.9914087	126.3759164	73.14438303	51.61891774	376.8339537	259.4707921
IL615a	IL615a	4.617423064	61.63364469	18.23097024	110.7828635	77.14451194	32.39560233	0.865486478	43.1014928	87.97870108	30.38782815	12.11337709	35.05184831	4.413153367	67.73578157	58.73546347	38.30007655	22.49405395	74.09285526	103.8229728	-0.05494924	10.25836114	62.74249621	-0.016918469	65.39864638	-0.026963154	-2.511105378	29.7856404	0.887516652	5.76697761	9.466903926	3.105876428	0.817276405	0.926962132	87.4940631	17.29321041	81.74787538	56.09460321	9.86420577	40.76466683	1.426091025	0.003898708	10.13913121	8.920070559	6.686482958	2.982126616	0.776326768	0.902698614	85.86297001	16.70127762	0.912700259	56.15189445	58.43061953	-0.011218556	62.47470534	-0.001405268	0.889157406	25.61260588	15.62348378	30.57672177	14.17544151	4.645102209	4.993664987	8.62667136	18.49839363	195215.5	129398.5	184769	3191746	2967520	30669	22013.5	1312383	6999937.5	67077.5	211788.5	28087	2327543	751690.5	2405200.5	561339	886034.5	128560.5	29620	64744.5	233668	127585	524350	119045.5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
IL618b	IL618b	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	74.05371554	49.88402825	43.49865379	134.0769665	173.0424838	0.011555685	8.680195826	64.79458719	0.983081479	66.89234277	-0.026359507	-2.122899588	38.75449059	0.912020251	8.916183445	15.55975201	3.682729266	0.835518038	0.936546643	72.90611552	12.39582179	173.5873925	135.6978319	54.18994067	55.69073724	1.592760535	0.634146989	10.93279537	13.47582515	6.243132692	3.407967926	0.837125156	0.935834389	80.95177472	14.3300193	0.935245705	54.52262798	63.01844475	0.988781457	67.05964474	-0.001404273	1.687504347	38.15887614	12.81446632	31.30117639	18.5399893	4.313042339	4.14537405	10.77928576	17.80476475	349124.6667	415024.6667	258612	3050930.667	3698414.333	90404.66667	190082.3333	46370	7667430.333	144694.3333	130553	37978	188042.6667	1274120.667	4663048.667	87366.66667	91579.33333	286411.6667	34010.33333	120066.3333	116164.6667	358295.3333	1067670.333	11046.33333	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
IL648	IL648	7.117423064	56.63364469	59.29930941	194.4673925	153.2836906	41.38239298	0.926788187	81.2350256	111.9859384	36.21958816	13.21117212	54.30184831	4.69150215	61.23576901	35.08382986	55.82521345	20.42067012	80.56581931	105.0159312	2.096296976	3.856316109	72.04252193	-0.016918348	69.56985969	-0.022349642	2.521262337	24.41019657	0.840720314	4.843026224	9.783259529	3.405114268	0.730663575	0.908377881	105.7386159	16.23104847	110.0174436	81.01242468	20.51162389	40.68808925	1.342761778	1.970308624	5.762181777	7.918094794	8.593002088	2.827246408	0.813017771	0.916808625	85.15098627	14.56338556	0.902012948	75.82182486	63.5398649	-0.011218692	65.43786213	-0.001409552	1.880392444	28.32652138	13.90861661	34.33487786	20.41442406	4.151894431	4.367708177	10.62084395	18.93823109	203463	35146.66667	67033	251764.6667	1247706.667	15367.33333	53312.33333	7221.333333	1208519	45354	243508.6667	5827.333333	137999.6667	225037	895829.3333	36852.33333	462440	120200.6667	26413.33333	46772	153618.6667	86796.33333	146457.3333	5918.666667	103.3154275	245.2933816	71.10514133	46.40503448	352.6049168	NA	102.4297493	243.7417334	71.24392303	46.73793052	350.9764103	NA
IL661a	IL661a	8.645491806	57.69168358	37.64050364	139.4887154	108.9935944	30.49633621	0.207755852	46.12319098	117.9714638	31.55606815	12.01558206	65.98783306	4.58976727	89.7357719	46.70665622	45.80012944	8.763538932	50.44645923	74.73446764	1.159900197	5.062832655	71.23828548	1.316415181	70.03698102	1.646324791	1.193204141	23.93367566	0.868706608	5.10057415	9.342471067	2.723672252	0.798236012	0.92079823	59.51130629	15.43793014	62.75700583	35.10473598	17.53737341	31.99328853	2.009428309	0.577362478	9.436027351	10.95882742	9.121316118	2.748109534	0.799275596	0.908285113	55.38187308	11.21727634	0.890255729	74.66802898	57.30581459	0.988781373	57.37109043	0.998596159	3.768968922	27.77951143	9.464264997	30.44169192	22.16281464	3.827953862	4.057706774	9.335462962	16.60427093	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	132.1897981	158.9400017	69.33754001	46.10000452	383.5716321	294.8794141	131.9810969	158.9400578	69.46646482	46.10000801	380.8746987	294.879482
IL671a	IL671a	8.570322768	57.33211856	18.86789228	123.5554624	92.35108937	30.95669396	1.371679088	42.0798031	137.5860339	33.73617001	12.9196529	65.86223566	4.628917462	88.8607725	62.31411412	43.55084518	28.35934408	90.78260558	118.8382091	0.646169634	10.44337045	57.33980286	-0.016918491	57.23668724	-0.025436104	0.193555487	28.13728317	0.957514786	5.663424704	14.48065645	3.672363256	0.854917829	0.955470973	110.7689241	11.77864768	100.3804547	71.93021004	15.50319429	47.38060978	1.759429346	0.922941346	8.438260162	13.41555025	5.841753257	3.483050695	0.81476274	0.926427507	84.23736462	20.10834743	0.911282271	77.12788485	57.55955492	-0.011218566	58.33625204	-0.001409013	2.058966096	28.55007163	21.14460822	37.21427196	14.86000177	3.486685067	3.565521339	6.314119035	12.24927802	160048.5	76425.5	124938	337687	821727.5	6786	26671.5	2707	870609	28831	442709.5	14001	117310.5	249952	508257	28527.5	77782	76680.5	98495	49758.5	174404.5	77364.5	234684.5	1951	91.15342506	101.970005	59.88726243	45.09995339	227.6641073	185.7376966	90.68512656	101.9700619	59.80155004	45.09996801	225.9509565	185.7375474
IL673a	IL673a	3.00174283	64.26265805	47.6691684	153.7744664	121.6280996	31.42276092	2.837555462	28.21463887	151.8543596	34.98482059	10.49234161	23.42669422	5.878425083	126.8607873	64.22701156	38.63362771	46.72612956	119.2052887	150.8286862	0.942175627	9.417542453	64.58214236	-0.016918224	67.09474341	-0.014827627	-2.480892903	31.75753725	0.883809163	8.51115661	14.0971683	3.541464113	0.83209697	0.930629865	72.00093185	16.20771765	153.2008381	109.2152761	43.77121708	41.61469759	1.842762982	0.588939076	7.262600124	15.40708213	9.726499794	3.309578835	0.816299255	0.920637051	60.32580694	15.56670941	0.901349331	78.36838572	65.6844414	-0.011218679	67.92757725	-0.001408039	2.515528626	43.8735714	18.42226303	32.25038035	14.76153436	3.798400477	3.86714395	8.606196808	16.48522301	274069	45115.66667	229114.3333	1042998.333	2351207	44951.66667	3144	9912.333333	5905246	186478.6667	67845.66667	26643.33333	2217102.667	2350216.667	2558149.333	778376	123112.3333	73406.66667	103857	371572.3333	209972.6667	270428	767582.3333	19475	93.93584828	239.4133889	61.9637726	39.60507765	244.1384262	400.4251334	93.66390723	237.8618726	62.0303474	39.93796034	244.6813762	395.3757539
IL676a	IL676a	6.473674088	57.70461915	23.259635	127.5686146	91.77901706	35.32202704	4.495286088	43.19294068	115.6342661	33.09510233	13.1380349	50.14070947	4.19435914	68.86078687	74.3117416	40.21655293	32.6801621	95.2602071	129.7005383	0.557756342	21.54543465	57.74030499	1.98308192	58.85404448	-0.018420568	-1.137069553	34.50857157	0.908239193	3.861940876	13.22502056	3.463307929	0.842814736	0.949503714	85.59761894	16.99403705	96.15637452	64.26116869	12.98855437	41.65557988	1.426093402	0.512431187	15.29422582	10.42501659	3.948706069	2.944513416	0.816303093	0.922877951	69.18797877	11.1902344	0.874695259	72.65093203	58.78645101	1.988781287	63.74277239	-0.001405628	2.431846072	31.96804941	18.90236024	32.93827699	12.56833747	4.254841386	4.681518703	6.941507803	15.66868914	126048.3333	188629	336665.3333	4868513.333	5628247.667	165669	14762	2760635	11747198.67	129831	92571.66667	30913.33333	2718673.333	1187887.667	3215279.333	607003.3333	71285.33333	71841	73392	155830	116888	167129.3333	1336202.333	61420.66667	66.69075437	81.69169352	68.77024909	57.75251943	215.1158455	194.5329978	66.78471795	80.91597172	68.69519148	57.91896349	216.1442852	192.008351
IL677a	IL677a	12.07032277	50.83211856	25.36789228	131.0554624	98.35108937	31.95669396	1.371679088	53.0798031	97.58603391	26.73617001	8.419652896	92.81223566	4.846291227	65.0000209	79.80936372	66.3823151	32.31399398	98.65196415	130.4331668	0.111167375	10.79538214	52.43099209	1.983081719	51.43929086	-0.021185522	0.898158161	31.1398648	0.932156423	5.823163965	8.925956899	2.716213561	0.835291587	0.917800233	65.72893126	15.35024688	116.363046	86.97614759	21.1656103	67.45194277	1.592759275	0.263010559	10.51221287	9.809137022	4.726616955	2.683220258	0.821330302	0.919744234	61.279374	9.319590149	0.918910303	87.13844833	53.1556596	1.988781357	53.36790854	-0.001407079	1.217791782	29.72064127	6.87916696	22.14533982	16.8021959	5.968136854	6.283225305	15.80247054	28.58117309	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	86.97021394	114.986698	64.18246493	44.40250459	241.9270872	209.6596749	86.35937452	114.2110355	64.21995396	44.56893452	242.0875059	207.1349742
IL678a	IL678a	8.973674088	62.20461915	51.759635	164.5686146	128.2790171	35.82202704	-0.004713912	36.19294068	133.1342661	32.09510233	12.6380349	69.34070947	2.306965465	78.6524422	49.51142342	43.44919316	37.24183091	103.6557848	135.3450378	0.083699819	8.543315777	66.09284952	1.974622279	69.11215907	1.96493788	-3.161826405	31.38635283	0.867332834	7.824977008	15.39971781	3.650377502	0.875512262	0.94847601	114.0695911	10.85372604	144.9040691	107.2181527	40.33076608	32.14756982	1.671628266	-0.182210776	5.706251524	14.57830537	7.24713122	3.145784428	0.862353267	0.948305202	72.90645553	9.678032864	0.904439705	50.72025677	64.59173486	1.98878118	66.14451539	1.998589672	0.120635944	37.8333768	13.39306397	31.69370063	19.55608461	3.353425125	3.427341808	6.902543043	12.52225611	924748	613673.6667	340679.3333	4120281.667	2351071	41592	1169035.667	4119.666667	1303470	83088.66667	1083575.333	38254.33333	2245068	289917.3333	857468.3333	629251	391087	263808.6667	276454	312992.3333	466005.3333	172261.6667	939038	252437.3333	125.6004316	139.7441884	67.39170594	53.80252516	384.9130279	217.512939	125.9202326	138.9683826	67.35256671	53.96895554	384.6494519	217.5127801
IL689a	IL689a	9.406475695	53.64836439	24.59507993	118.4038805	88.5070372	29.95592234	1.611606205	54.99346972	105.6100302	30.55640042	12.00750573	72.82123249	3.535579697	64.86079502	75.06225218	56.63317792	26.01408125	93.71640043	121.7661847	1.054870774	11.29347925	56.02680508	-0.016918492	56.79314553	-0.01942578	-0.799601182	28.62865012	0.827747057	7.221804467	13.79831481	3.555145599	0.800061962	0.943187504	108.7155555	15.11737485	101.2296301	71.76961134	14.02924861	56.97369403	1.509427823	0.770052318	4.591567643	11.50889954	8.263742129	3.164662292	0.811431783	0.916384314	72.27588864	21.10203221	0.866280637	80.81217196	57.76957708	-0.011218528	58.37434054	-0.001409006	2.87969874	29.64957388	13.88209702	33.47977591	19.67648547	3.873721138	3.596240893	5.776256062	12.31443047	138045.6667	300856	91416.66667	2348880	3862715.333	9973.333333	7579.666667	6648	3533900	131069.3333	433311	26289.66667	1718763	256240.6667	1894402.333	318385	770732.3333	122432	66808.33333	42880	271749	245696.6667	461998.6667	71843.33333	83.57104141	NA	66.78131957	NA	249.0785585	NA	81.78420126	NA	66.75902892	NA	245.4089444	NA
IL692c	IL692c	9.617423064	56.13364469	60.23097024	172.7828635	134.6445119	38.39560233	0.865486478	59.1014928	125.4787011	37.88782815	13.61337709	73.50184831	0.590426849	79.61077937	56.73691772	53.21582225	42.78983779	110.4253149	150.3969237	0.449196497	7.322387933	61.61715756	1.983082	62.15032053	1.984068986	-0.746779958	39.95724853	0.905838015	7.480111105	12.28705077	3.753254159	0.82025127	0.940372149	94.5455702	21.88425599	159.4764935	118.8681619	36.19541439	53.79388619	1.453869246	1.051618451	13.78323473	11.8870164	11.61415017	3.731655502	0.828333061	0.941955045	72.97340962	18.92473472	0.853641032	67.94812642	59.11619424	0.655447979	62.25413666	1.665259954	2.655365903	40.89639345	16.46109054	29.51960571	12.93075402	5.131893353	4.871722052	7.322976015	17.60958288	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	94.939364	96.57669375	68.03260854	47.60254002	272.7546679	183.3103155	94.06780441	95.80096518	68.09479642	47.76897772	269.4256241	180.7856471
IL696a	IL696a	7.973674088	60.20461915	46.259635	171.0686146	130.2790171	40.32202704	0.995286088	31.19294068	148.1342661	27.59510233	11.1380349	61.69070947	0.599838819	61.86078058	58.34479844	40.34556684	24.37900707	88.29425588	123.0696904	0.222168017	7.43063835	64.47177535	1.983081669	64.88835086	-0.016101966	-0.459024421	34.44704312	0.93350509	4.208188726	13.80134528	2.814231395	0.861382797	0.949385928	78.68236794	10.72614099	136.6007769	94.67909135	25.51162389	46.85475592	1.509428445	0.136975291	4.512181777	13.89063332	3.863416076	2.95885213	0.85312012	0.931203573	66.90686997	22.21168451	0.909493519	80.95002999	59.5398649	1.322114641	62.77119546	0.331923781	0.428883275	41.24318805	7.165400552	24.51967309	17.86420329	4.999157064	5.224833032	11.94499795	21.30218164	36031	28314	48412	567991	982233	83909	50	9958	1199895	10493	47135	18100	68193	410428	1333217	8544	23218	594808	1285	99617	63549	29766	462730	1231	92.40528431	183.7533847	68.21574399	39.70506268	290.3263595	306.9317269	91.74128607	182.2018807	68.10501505	40.03793982	286.3969992	301.8822578
IL699e	IL699e	9.50174283	61.76265805	53.1691684	184.2744664	149.1280996	34.42276092	0.337555462	56.71463887	76.85435959	26.98482059	14.49234161	73.37669422	NA	NA	2.200449369	NA	NA	67.5294517	92.24009665	0.081723988	2.348302444	NA	NA	NA	NA	NA	24.50875514	NA	NA	NA	NA	NA	NA	NA	NA	89.76124577	75.33672969	15.49786122	63.60790708	0.981651746	1.569185622	2.671355912	7.634504166	10.93008019	2.445134953	0.79469297	0.92237901	52.34964841	11.20757131	0.891374316	64.11976219	77.54427541	-0.004500103	74.35008026	-0.004509756	0.799065878	13.86952362	15.90608672	33.13624019	17.50004513	4.058584867	3.746046657	6.705131081	14.95589899	98401	42169.33333	145732	667168	1723740	31748.33333	3332	4730.333333	3318450.333	155237	179306	10509.66667	1086312.667	250147	671251.6667	198457.6667	41169.33333	195803	25275	74991.33333	93816	25971.33333	126259.3333	48713.33333	83.25671129	NA	61.73257153	NA	217.0449889	NA	83.65334527	NA	61.74160045	NA	221.0267321	NA
