geno	ID	STC_19	DTP_19	EH_19	PH_19	FLH_19	TE_19	TIL_19	LA_19	EL_19	EW_19	KRN_19	GER_19	NEL_19	SL_19	GER_21	LA_21	EH_21	FLH_21	PH_21	TIL_21	TBN_21	DTP_21	AC_21	DTS_21	SC_21	ASI_21	TE_21	TPF_21	SL_21	EL_21	EW_21	COV_21	SOL_21	TP_21	CUR_21	PH_22	FLH_22	EH_22	LA_22	NES_22	TIL_22	TBN_22	EL_22	SL_22	EW_22	COV_22	SOL_22	TP_22	CUR_22	TPF_22	STC_22	DTP_22	AC_22	DTS_22	SC_22	HP_22	TE_22	Carb_Starch.BLUP	Carb_Total.Polysaccharides.BLUP	Carb_WSP.BLUP	Carb_Glucose.BLUP	Carb_Fructose.BLUP	Carb_Sucrose.BLUP	Carb_Total.Sugar.BLUP	Vol_beta_pinene	Vol_β_Myrcene	Vol_beta_ocimene	Vol_linalool	Vol_DMNT	Vol_benzyl_acetate	Vol_methyl_salicylate	Vol_Phenethyl_acetate	Vol_Indole	Vol_methyl_antranilate	Vol_cyclosativene	Vol_epi_sesquithujene	Vol_β_trans_Caryophyllene	Vol_trans_α_Bergamotene	Vol_β_Farnesene	Vol_Humulene	Vol_Germacrene_D	Vol_β_Bisabolene	Vol_β_Cadinene	Vol_γ_Cadinene	Vol_Cadina_diene	Vol_trans_Nerolidol	Vol_TMTT	Vol_Caryophyllene_epoxide	pg21_BLUE	pg28_BLUE	ww21_BLUE	ww28_BLUE	adjpg21_BLUE	adjpg28_BLUE	spg21_BLUE	spg28_BLUE	sww21_BLUE	sww28_BLUE	sadjpg21_BLUE	sadjpg28_BLUE
442A-431-68D	442A-431-68D	8.837895756	63.57890387	59.39635606	195.6228845	161.7840474	33.9219893	0.577482578	54.62830549	98.8783559	31.80505101	12.08019443	68.78569105	1.143137227	111.7357825	32.40368592	56.93862539	28.27108383	119.4536457	153.3159674	0.021525363	6.981427851	65.1282636	1.983081575	66.75045251	1.646387688	-1.76981968	33.90644552	0.913355607	9.794768306	10.99529773	3.097059843	0.834193533	0.923367133	100.3245186	20.20030142	170.4436	136.61759	41.14611458	54.80763362	1.842758878	-0.10805084	9.435747148	10.35642478	12.69266523	3.353033027	0.810928615	0.926164652	114.3132945	18.16462757	0.964517426	91.64159095	64.05424001	1.6554481	67.31606274	1.997889888	1.330606702	33.79469376	NA	NA	NA	NA	NA	NA	NA	47980	8933	62505	10881	361491	3524	75	73	2992	3512	257858	3481	800992	385690	111499	312714	41916	23423	33071	86698	114679	736	9755	7380	90.50182328	185.8616941	71.96333007	40.20252833	325.1271886	312.691015	90.70292876	185.0859357	71.83897731	40.36896021	324.8009327	310.166266
469	469	7.406475695	52.64836439	22.09507993	119.4038805	81.5070372	37.45592234	2.611606205	39.99346972	132.1100302	34.05640042	10.00750573	57.42123249	3.448968345	50.36078656	55.42226524	40.2165677	22.05163306	83.51217434	113.7654381	0.429175264	6.987633218	54.09220294	1.983081461	53.76471269	0.311916745	0.222842303	30.34358697	0.912942627	6.455651715	14.7603622	3.392027211	0.843317844	0.947411657	77.57860107	14.10455803	142.7314249	101.6313074	35.01025061	47.47886616	2.009426592	1.44035899	8.288496823	13.28138423	5.734682862	3.324657926	0.833496224	0.955466708	76.70080231	9.433304709	0.955498801	87.33334458	55.05398216	0.655448024	55.24454363	0.665263367	2.785411423	41.10476	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	85.08823541	175.9266985	68.18726243	43.70247298	281.3986499	209.735091	84.84353296	175.1509773	68.10155004	43.86892613	279.6854991	209.7349418
471_U6	471_U6	10.33789576	62.07890387	51.39635606	166.1228845	126.7840474	38.9219893	2.077482578	19.12830549	101.8783559	28.80505101	9.080194434	80.33569105	3.833071198	63.36076806	43.30736207	30.46610228	26.7710435	92.51977584	131.8138341	2.104904303	6.982557916	70.01934893	1.983081623	69.75174693	-0.023005794	0.204511123	39.11757615	0.957697723	8.061571707	10.74206288	3.191558134	0.823184477	0.934248494	82.15160287	14.85173763	151.1142641	109.453868	36.56424292	31.87532945	1.842760347	1.587637827	9.162094166	11.29262566	4.653946328	3.020776899	0.844111887	0.950970845	67.55439946	10.10587384	0.946049568	86.21525178	63.65667115	1.655447994	64.16385928	0.665262294	2.94091068	41.55331787	10.8360421	28.3887385	18.72733658	5.19041993	5.572882514	11.76439078	21.34263244	148471	61136	18757	229706	267116	18247	181	3623	516354	5992	70689	3705	23316	72625	126038	14848	6165	15236	5941	42999	33395	4683	28710	1778	88.07069951	126.2566914	74.13911935	51.90253704	339.0570622	264.2592016	88.15696179	125.4808836	74.25233978	52.06900396	338.8971358	261.7344443
592	592	5.906475695	58.14836439	25.09507993	139.9038805	103.5070372	35.45592234	2.611606205	69.99346972	135.1100302	28.55640042	8.507505725	45.92123249	NA	NA	85.2967959	65.1336671	26.90093811	94.23395116	128.5129671	1.972831616	9.349352148	57.65413718	1.983081699	58.73210722	1.644511842	-1.134594828	34.04459032	0.956358995	4.603780554	14.31373766	2.887901266	0.868481608	0.952072806	65.96964064	10.09141082	127.5919017	91.45822146	20.01054593	61.11370407	1.592505961	2.209586898	6.301198618	14.17268207	5.624021266	2.746040222	0.824351843	0.939802905	56.09280042	11.4453925	0.991501488	46.99235903	53.27767116	0.487672079	55.37436949	0.995489896	2.786724139	36.55863411	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	63.30000504	NA	36.89995339	NA	100.3169489	NA	63.30006186	NA	36.89996801	NA	100.3167997
789	789	6.50174283	51.76265805	23.6691684	117.2744664	86.12809956	30.92276092	1.837555462	46.71463887	127.8543596	31.48482059	9.992341605	50.32669422	5.004840478	113.8607795	50.58881789	42.71658747	15.50020793	68.53860752	97.11896411	0.42792029	6.725018515	55.4137702	-0.016918263	56.24102386	-0.019710347	-0.834672997	28.31763771	0.899684888	7.176538016	14.80865661	3.295988417	0.847845709	0.939574981	87.72936404	16.10178806	89.28279166	62.43629668	16.20937568	51.57058729	1.564985195	1.920729619	3.443534709	15.17684687	7.053255815	3.188699223	0.837826312	0.918816432	52.69845442	18.36169901	0.925804944	46.31058052	55.13162244	-0.011218623	54.51060232	-0.001407398	2.187170553	27.10067302	NA	NA	NA	NA	NA	NA	NA	161338	179658	29940	373936	1106482	7907	18911	1380	726449	29192	405151	9990	479823	867742	665758	126543	444636	16172	45429	61569	192808	45235	28143	14904	82.15276075	101.586687	63.32809538	41.20256288	222.7487138	174.6374764	81.43064273	100.8107958	63.33512223	41.36899224	219.4355669	172.1125594
81-1	81-1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	28.22091133	36.63372078	61.63530866	127.0076577	165.6923491	0.659531965	16.41058981	78.47768133	2.93E-07	78.62264859	0.002549996	-0.039194609	38.56113534	0.970485109	8.324934898	12.05887106	2.095386506	0.884111824	0.92061208	46.35982934	9.350989125	166.3546697	120.5828845	51.25348327	35.63514532	1.34250745	0.30471539	16.52344266	13.11065459	8.080090632	1.988524866	0.879229741	0.917519788	23.10806178	8.559018165	0.999999999	33.44308106	83.41168342	-0.012327437	87.59051153	-0.009020975	0.662217316	46.34145008	11.17852389	30.23714568	21.2743716	4.49958218	4.745875483	11.70503027	20.23762185	244667.5	56477	75519	1049822	1812234.5	11980.5	646.5	2677.5	170030	6834	151890	23656	119262	1773662	2335667	144867	278994	61007	73175	57295.5	606489	92979	1160602	6203.5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
83610b	83610b	10.98164473	60.00792941	29.3676913	165.3371334	126.1495423	38.99556458	-0.052317032	50.03685761	145.2227909	34.59777683	14.55553663	84.49682989	0.096061035	32.98578765	50.39013104	44.88354685	29.74866734	110.8811048	146.1692107	0.407473305	11.40435493	61.61136984	1.649748306	62.18625468	1.975025036	-0.520046001	35.21391745	0.950355256	5.302959914	14.69167778	3.466987267	0.807221694	0.944533674	68.89352005	11.24913187	129.981566	88.30251897	18.43501042	52.94258116	1.75942864	0.099981763	10.88048879	14.29863083	4.214906409	2.936901751	0.736348619	0.903527723	60.88211482	19.06459021	0.984861461	47.2117492	61.28439092	1.6554481	60.91166349	1.665263615	0.119929225	41.75316522	10.59541352	27.27027483	17.26886423	5.307756985	5.264772852	12.26498384	23.7320608	3177	54784	32962	289112	1059277	2313	78171	24725	157829	5588	6202	434	14367	1469	12426	12531	4547	2577	2105	3842	6753	11407	180966	1071	101.5687588	106.676702	65.52924423	52.90254592	295.9517212	227.1586837	102.2287221	105.9010326	65.56896992	53.06897574	295.8676558	224.6340219
83612b	83612b	9.473674088	58.70461915	26.259635	147.5686146	112.2790171	34.82202704	0.495286088	34.69294068	108.1342661	31.59510233	13.1380349	73.19070947	0.185708842	85.98577965	67.48127962	35.80015197	26.25398168	98.41658569	126.0328152	0.185098596	6.653143693	63.41755313	1.983081822	62.48652493	1.980900654	0.886045446	27.61459687	0.941319561	6.303121257	11.91312066	3.548995599	0.853027389	0.961662854	90.66747374	12.47217809	126.1047265	96.55671751	17.92935017	38.73389197	1.592759243	0.19551227	8.646082838	11.50073531	7.495627034	3.263277728	0.830647659	0.953875797	76.95519762	9.435987458	0.965469161	89.70555814	61.58527712	1.98878162	62.56894526	1.998591732	0.854892822	29.38847815	11.17746192	26.70322257	16.45484156	5.320154454	5.800321269	13.60635798	25.40782458	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	76.6781944	72.02338162	71.26944609	51.90503448	264.8834855	149.8384604	76.62826423	70.47173342	71.38505977	52.23793052	265.728053	144.7885974
908	908	0.837895756	64.07890387	15.39635606	120.1228845	84.28404739	35.9219893	5.077482578	49.12830549	NA	NA	NA	7.285691052	4.58976727	67.9857719	59.54826733	46.30106523	36.06863706	100.5643134	134.5469264	1.715306574	7.873677547	56.51565809	-0.016918283	56.46767889	-0.024596322	0.147996525	33.81037304	0.94783408	5.219093991	15.01044096	3.25395526	0.846155158	0.944014478	77.19532168	13.14083963	120.8462997	84.17095245	19.73888837	55.81355485	1.59276224	1.206497762	5.953558497	14.66744577	8.273142985	3.10551655	0.801339272	0.921540581	76.12409093	17.49847963	0.914734152	64.75955941	56.89185902	-0.011218591	56.93217649	-0.001409374	3.029695019	36.58420535	NA	NA	NA	NA	NA	NA	NA	521454	43311	16256	62709	455519	8203	1253	8300	209879	8653	278367	7657	34060	190307	111810	2648	16846	5364	15523	18696	31392	2206	11552	2022	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
A10579	A10579	12.33789576	57.57890387	51.89635606	161.6228845	129.7840474	31.4219893	1.077482578	49.62830549	117.3783559	28.30505101	12.08019443	95.73569105	2.335884159	71.61078401	8.939680707	70.80014906	19.80968413	71.03372698	98.64091067	0.532538643	11.44931153	71.29336894	-0.016918298	71.60769235	-0.023596063	-0.445849551	27.18953461	0.788019227	13.95470648	13.35139805	2.981934835	0.803692125	0.900045579	53.79916589	12.79453143	89.25615734	64.25345483	21.93493099	50.05942137	1.676094007	0.500410441	17.77303167	10.99477555	7.418347631	3.41332133	0.831973158	0.947280399	80.53171091	19.78508243	0.89260843	75.83316292	57.80270676	-0.011218438	58.21822899	0.331930563	1.915665919	24.6255186	15.23807034	25.11873125	8.963754597	4.872345533	6.300190273	12.85658108	25.2421536	765950	95670.66667	33181.66667	183184	49926.33333	14099.33333	1841	7574.666667	749750.6667	22211.66667	914157	35775.33333	156352.3333	696135	207730	33694.66667	149097.6667	33800	158826	103795	219546	27363	30882.66667	1486.333333	54.14739101	73.93339608	77.3991959	64.30506903	245.2863698	211.0197273	NA	NA	NA	NA	NA	NA
