AC	0.46804	GxE
COV	0.1144	GxE
CUR	0.08854	GxE
DTS	0.48126	GxE
SC	0.59519	GxE
SOL	0.16176	GxE
TBN	0.36079	GxE
TP	0.23149	GxE
TPF	0.1127	GxE
GER	0.23832	GxE
DTP	0.35903	GxE
EH	0.37377	GxE
PH	0.4782	GxE
FLH	0.45218	GxE
TE	0.28287	GxE
TIL	0.14675	GxE
LA	0.28101	GxE
EL	0.31372	GxE
EW	0.20212	GxE
AC	0.6334	22
COV	0.18559	22
CUR	0.12655	22
DTP	0.69353	22
DTS	0.70428	22
EH	0.603	22
EL	0.5693	22
EW	0.43586	22
FLH	0.78125	22
HP	0.46438	22
LA	0.43771	22
NES	0.23631	22
PH	0.77644	22
SC	0.71984	22
SL	0.4746	22
SOL	0.24314	22
STC	0.40106	22
TBN	0.63743	22
TE	0.34521	22
TIL	0.38429	22
TP	0.40817	22
TPF	0.25596	22
GER	0.66652	21
LA	0.69449	21
EH	0.76175	21
FLH	0.76851	21
PH	0.79407	21
TIL	0.46942	21
TBN	0.57049	21
DTP	0.78079	21
AC	0.78113	21
DTS	0.76421	21
SC	0.83753	21
ASI	0.35467	21
TE	0.65213	21
TPF	0.28539	21
SL	0.55208	21
EL	0.66355	21
EW	0.61511	21
COV	0.3901	21
SOL	0.37778	21
TP	0.46867	21
CUR	0.20873	21
NEL	0.66716	19
SL	0.58156	19
STC	0.63908	19
DTP	0.61939	19
EH	0.75452	19
PH	0.81779	19
FLH	0.80048	19
TE	0.62444	19
TIL	0.5007	19
LA	0.64674	19
EL	0.70644	19
EW	0.64523	19
KRN	0.73592	19
GER	0.68933	19
